"Position","Pattern","TP","SL","TrailAct","TrailRev","BeAct","BeMoveTo","TotalTrades","WinRate","NetProfit","AvgPnL","ProfitFactor","SharpeRatio","MaxDrawdown"
"Long","trailing",NA,NA,800,50,NA,NA,141,0.624113475177305,56900,403.54609929078,2.16861778599302,0.31278372468158,6490
"Long","trailing",NA,NA,900,50,NA,NA,141,0.617021276595745,57140,405.248226950355,2.15973208849198,0.311605948825768,6440
"Long","trailing",NA,NA,700,50,NA,NA,141,0.631205673758865,53580,380,2.10771139135828,0.298136629122036,6220
"Long","trailing",NA,NA,900,100,NA,NA,141,0.617021276595745,53440,379.007092198582,2.08463568094175,0.295967539483902,6550
"Long","trailing",NA,NA,800,100,NA,NA,141,0.624113475177305,53000,375.886524822695,2.08851920312179,0.295869876042656,6690
"Long","trailing",NA,NA,1000,50,NA,NA,141,0.595744680851064,54480,386.382978723404,2.08916433426629,0.295497373920717,6560
"Long","trailing",NA,NA,1000,100,NA,NA,141,0.595744680851064,51260,363.54609929078,2.02479008396641,0.282247862387052,6710
"Long","trailing",NA,NA,800,150,NA,NA,141,0.624113475177305,49780,353.049645390071,2.0223865270076,0.281815204533698,6890
"Long","trailing",NA,NA,900,150,NA,NA,141,0.617021276595745,50010,354.68085106383,2.01501928151005,0.281124593598127,6750
"Long","trailing",NA,NA,700,100,NA,NA,141,0.631205673758865,49600,351.77304964539,2.025428984908,0.280232725104569,6270
"Long","trailing",NA,NA,500,50,NA,NA,141,0.680851063829787,41760,296.170212765957,2.01581123814157,0.276905063852468,9590
"Long","trailing",NA,NA,800,200,NA,NA,141,0.624113475177305,47360,335.886524822695,1.97268432943109,0.270605454126586,7080
"Long","trailing",NA,NA,1000,150,NA,NA,141,0.595744680851064,48110,341.205673758865,1.96181527389044,0.26889038829087,6860
"Long","trailing",NA,NA,900,200,NA,NA,141,0.617021276595745,47030,333.54609929078,1.95453622894256,0.267280764896281,6940
"Long","trailing",NA,NA,700,150,NA,NA,141,0.631205673758865,46030,326.45390070922,1.95162290676039,0.263858887747724,6320
"Long","trailing",NA,NA,600,50,NA,NA,141,0.645390070921986,44830,317.943262411348,1.93512724238632,0.262019657055786,9450
"Long","trailing",NA,NA,1000,200,NA,NA,141,0.595744680851064,46240,327.943262411348,1.92443022790884,0.260427666898598,7000
"Long","trailing",NA,NA,800,250,NA,NA,141,0.624113475177305,45080,319.716312056738,1.92585746559869,0.260238823938476,6880
"Long","trailing",NA,NA,900,250,NA,NA,141,0.617021276595745,44700,317.021276595745,1.90724578851228,0.256779867925209,6880
"Long","trailing",NA,NA,800,300,NA,NA,141,0.624113475177305,44690,316.950354609929,1.91784760731156,0.254997455107428,7040
"Long","trailing",NA,NA,500,100,NA,NA,141,0.680851063829787,37290,264.468085106383,1.90707856969107,0.251520121062298,9840
"Long","trailing",NA,NA,400,50,NA,NA,141,0.709219858156028,36130,256.241134751773,1.95229309435951,0.251418742082121,9850
"Long","trailing",NA,NA,900,300,NA,NA,141,0.617021276595745,44170,313.262411347518,1.89648873553887,0.251000301864064,7040
"Long","trailing",NA,NA,1000,250,NA,NA,141,0.595744680851064,43560,308.936170212766,1.87085165933627,0.248705766688671,6890
"Long","trailing",NA,NA,700,200,NA,NA,141,0.631205673758865,42920,304.397163120567,1.88732685548894,0.248551627172199,6550
"Long","trailing",NA,NA,1000,300,NA,NA,141,0.595744680851064,43530,308.723404255319,1.8702518992403,0.24566714991128,7040
"Long","trailing",NA,NA,800,350,NA,NA,141,0.624113475177305,42750,303.191489361702,1.87800369685767,0.245229465876968,7190
"Long","trailing",NA,NA,900,350,NA,NA,141,0.617021276595745,42830,303.758865248227,1.86929165820986,0.244501521452448,7190
"Long","fixed",900,200,NA,NA,NA,NA,141,0.304964539007092,16950,120.212765957447,1.86479591836735,0.24397758437589,2000
"Long","trailing",NA,NA,700,250,NA,NA,141,0.631205673758865,41330,293.120567375887,1.85445524085177,0.241256207831366,6710
"Long","trailing",NA,NA,600,100,NA,NA,141,0.645390070921986,40580,287.801418439716,1.84647476011681,0.24093436558669,9550
"Long","trailing",NA,NA,1000,350,NA,NA,141,0.595744680851064,41950,297.517730496454,1.83866453418633,0.238128169638546,7190
"Long","trailing",NA,NA,700,300,NA,NA,141,0.631205673758865,41230,292.411347517731,1.85238784370478,0.237432131002961,7010
"Long","fixed",1000,200,NA,NA,NA,NA,141,0.283687943262411,17150,121.631205673759,1.8490099009901,0.232607380999918,2400
"Long","trailing",NA,NA,900,400,NA,NA,141,0.617021276595745,40320,285.957446808511,1.81834787903389,0.232294101993056,6930
"Long","trailing",NA,NA,700,350,NA,NA,141,0.631205673758865,40120,284.539007092199,1.82943973537317,0.23177037194652,7310
"Long","trailing",NA,NA,800,400,NA,NA,141,0.624113475177305,39950,283.333333333333,1.82049702197577,0.23129150782371,7220
"Long","trailing",NA,NA,500,150,NA,NA,141,0.680851063829787,33360,236.595744680851,1.81148139138896,0.228644426517228,10090
"Long","trailing",NA,NA,1000,400,NA,NA,141,0.595744680851064,39690,281.489361702128,1.79348260695722,0.22739345055526,6930
"Long","fixed",800,200,NA,NA,NA,NA,141,0.312056737588652,14240,100.992907801418,1.7340206185567,0.222422740250398,1800
"Long","fixed",900,700,NA,NA,NA,NA,141,0.539007092198582,23770,168.581560283688,1.58103153263261,0.22154716118069,7170
"Long","trailing",NA,NA,600,150,NA,NA,141,0.645390070921986,36700,260.283687943262,1.76554025865665,0.221226428975533,9650
"Long","trailing",NA,NA,400,100,NA,NA,141,0.709219858156028,31230,221.489361702128,1.8231418028466,0.220988767806173,10150
"Long","trailing",NA,NA,700,400,NA,NA,141,0.631205673758865,37540,266.241134751773,1.77610088898077,0.21871573990634,7610
"Long","trailing",NA,NA,900,450,NA,NA,141,0.617021276595745,37220,263.971631205674,1.75542926730262,0.217183442300882,7080
"Long","fixed",1000,100,NA,NA,NA,NA,141,0.184397163120567,12400,87.9432624113475,2.07826086956522,0.216113887800885,3000
